sim_cycles,mixed_or_same,mem_or_coh,config,inj_rate,average_packet_latency,packets_received::total,packets_injected::total
1b,mixed,mem,ns_s_bwop,0_03,8126.091443,1079452.0,1079458.0
1b,mixed,mem,ns_s_bwop,0_04,8266.474092,1438058.0,1438068.0
1b,mixed,mem,ns_s_bwop,0_05,8417.337569,1796352.0,1796367.0
1b,mixed,mem,ns_s_bwop,0_06,8577.119009,2155393.0,2155407.0
1b,mixed,mem,ns_s_bwop,0_07,8752.595519,2515139.0,2515163.0
1b,mixed,mem,ns_s_bwop,0_08,8938.118466,2874593.0,2874616.0
1b,mixed,mem,ns_s_bwop,0_09,9144.474899,3234007.0,3234032.0
1b,mixed,mem,ns_s_bwop,0_1,9372.302854,3593849.0,3593887.0
1b,mixed,mem,ns_s_bwop,0_11,9620.886687,3952428.0,3952472.0
1b,mixed,mem,ns_s_bwop,0_12,9905.652762,4311895.0,4311937.0
1b,mixed,mem,ns_s_bwop,0_13,10232.516791,4671492.0,4671519.0
1b,mixed,mem,ns_s_bwop,0_14,10609.92413,5031856.0,5031913.0
1b,mixed,mem,ns_s_bwop,0_15,11055.010164,5392264.0,5392329.0
1b,mixed,mem,ns_s_bwop,0_16,11575.95452,5751406.0,5751474.0
1b,mixed,mem,ns_s_bwop,0_17,12253.560476,6110991.0,6111059.0
1b,mixed,mem,ns_s_bwop,0_18,13095.56982,6469608.0,6469692.0
1b,mixed,mem,ns_s_bwop,0_19,14508.932249,6828289.0,6828363.0
1b,mixed,mem,ns_s_bwop,0_2,18175.455345,7187590.0,7187719.0
1b,mixed,mem,ns_s_bwop,0_21,952314.976795,7531963.0,7532109.0
1b,mixed,mem,ns_s_bwop,0_22,3789614.052868,7835756.0,7835897.0
1b,mixed,mem,ns_s_bwop,0_23,6001263.821341,8140655.0,8140841.0
1b,mixed,mem,ns_s_bwop,0_24,11547011.388678,8379022.0,8379264.0
1b,mixed,mem,ns_s_bwop,0_25,17157164.308437,8583544.0,8583788.0
1b,mixed,mem,ns_s_bwop,0_26,24357054.133813,8764117.0,8764408.0
1b,mixed,mem,ns_s_bwop,0_27,32838395.306849,8912548.0,8912836.0
1b,mixed,mem,ns_s_bwop,0_28,40700843.332816,9054751.0,9055045.0
1b,mixed,mem,ns_s_bwop,0_29,48723297.276181,9181654.0,9181996.0
1b,mixed,mem,ns_m_latop,0_01,8728.308534,359870.0,359872.0
1b,mixed,mem,ns_m_latop,0_02,8833.686332,719813.0,719818.0
1b,mixed,mem,ns_m_latop,0_03,8955.161703,1079451.0,1079458.0
1b,mixed,mem,ns_m_latop,0_04,9079.842348,1438057.0,1438068.0
1b,mixed,mem,ns_m_latop,0_05,9218.052997,1796351.0,1796367.0
1b,mixed,mem,ns_m_latop,0_06,9363.372476,2155393.0,2155407.0
1b,mixed,mem,ns_m_latop,0_07,9525.577394,2515139.0,2515163.0
1b,mixed,mem,ns_m_latop,0_08,9696.581967,2874591.0,2874616.0
1b,mixed,mem,ns_m_latop,0_09,9887.280068,3234004.0,3234032.0
1b,mixed,mem,ns_m_latop,0_1,10097.706155,3593844.0,3593887.0
1b,mixed,mem,ns_m_latop,0_11,10330.463004,3952429.0,3952472.0
1b,mixed,mem,ns_m_latop,0_12,10591.771561,4311891.0,4311936.0
1b,mixed,mem,ns_m_latop,0_13,10889.197199,4671490.0,4671519.0
1b,mixed,mem,ns_m_latop,0_14,11238.106893,5031850.0,5031915.0
1b,mixed,mem,ns_m_latop,0_15,11645.786612,5392264.0,5392328.0
1b,mixed,mem,ns_m_latop,0_16,12129.243697,5751409.0,5751474.0
1b,mixed,mem,ns_m_latop,0_17,12733.901913,6110985.0,6111059.0
1b,mixed,mem,ns_m_latop,0_18,13489.202386,6469597.0,6469690.0
1b,mixed,mem,ns_m_latop,0_19,14520.664748,6828281.0,6828362.0
1b,mixed,mem,ns_m_latop,0_2,16166.892958,7187590.0,7187719.0
1b,mixed,mem,ns_m_latop,0_21,20075.490107,7548072.0,7548192.0
1b,mixed,mem,ns_m_latop,0_22,345225.890852,7902147.0,7902298.0
1b,mixed,mem,ns_m_latop,0_23,6230614.577573,8152593.0,8152760.0
1b,mixed,mem,ns_m_latop,0_24,12468543.648453,8368710.0,8368924.0
1b,mixed,mem,ns_m_latop,0_25,18489372.4006,8568877.0,8569088.0
1b,mixed,mem,ns_m_latop,0_26,25258480.475217,8750251.0,8750468.0
1b,mixed,mem,ns_m_latop,0_27,32211793.314376,8918962.0,8919196.0
1b,mixed,mem,ns_m_latop,0_28,38731551.215245,9082007.0,9082274.0
1b,mixed,mem,ns_m_latop,0_29,44498302.31636,9244796.0,9245042.0
1b,mixed,mem,ns_l_latop,0_01,8147.782155,359871.0,359872.0
1b,mixed,mem,ns_l_latop,0_02,8235.345202,719813.0,719818.0
1b,mixed,mem,ns_l_latop,0_03,8341.38298,1079452.0,1079458.0
1b,mixed,mem,ns_l_latop,0_04,8455.881115,1438058.0,1438068.0
1b,mixed,mem,ns_l_latop,0_05,8579.723816,1796351.0,1796367.0
1b,mixed,mem,ns_l_latop,0_06,8715.506902,2155391.0,2155407.0
1b,mixed,mem,ns_l_latop,0_07,8863.350124,2515139.0,2515163.0
1b,mixed,mem,ns_l_latop,0_08,9022.979218,2874592.0,2874616.0
1b,mixed,mem,ns_l_latop,0_09,9201.53633,3234003.0,3234032.0
1b,mixed,mem,ns_l_latop,0_1,9396.322491,3593850.0,3593887.0
1b,mixed,mem,ns_l_latop,0_11,9607.410133,3952430.0,3952472.0
1b,mixed,mem,ns_l_latop,0_12,9852.144949,4311898.0,4311936.0
1b,mixed,mem,ns_l_latop,0_13,10122.815273,4671493.0,4671519.0
1b,mixed,mem,ns_l_latop,0_14,10434.229069,5031856.0,5031915.0
1b,mixed,mem,ns_l_latop,0_15,10794.173374,5392261.0,5392329.0
1b,mixed,mem,ns_l_latop,0_16,11207.749406,5751417.0,5751474.0
1b,mixed,mem,ns_l_latop,0_17,11703.671195,6110994.0,6111058.0
1b,mixed,mem,ns_l_latop,0_18,12295.962695,6469608.0,6469692.0
1b,mixed,mem,ns_l_latop,0_19,13052.370087,6828299.0,6828362.0
1b,mixed,mem,ns_l_latop,0_2,14047.461525,7187600.0,7187721.0
1b,mixed,mem,ns_l_latop,0_21,15528.713243,7548086.0,7548194.0
1b,mixed,mem,ns_l_latop,0_22,18075.252233,7906929.0,7907036.0
1b,mixed,mem,ns_l_latop,0_23,32428.759534,8265606.0,8265763.0
1b,mixed,mem,ns_l_latop,0_24,3138141.173247,8567436.0,8567650.0
1b,mixed,mem,ns_l_latop,0_25,10698424.070319,8773887.0,8774073.0
1b,mixed,mem,ns_l_latop,0_26,17805281.000231,8956222.0,8956413.0
1b,mixed,mem,ns_l_latop,0_27,24357231.26558,9128318.0,9128582.0
1b,mixed,mem,ns_l_latop,0_28,31214788.397284,9293644.0,9293920.0
1b,mixed,mem,ns_l_latop,0_29,37980435.706965,9448112.0,9448377.0
1b,mixed,mem,kite_medium,0_01,8874.329797,359870.0,359872.0
1b,mixed,mem,kite_medium,0_02,8980.906263,719813.0,719818.0
1b,mixed,mem,kite_medium,0_03,9102.380395,1079451.0,1079458.0
1b,mixed,mem,kite_medium,0_04,9229.530483,1438058.0,1438068.0
1b,mixed,mem,kite_medium,0_05,9369.955883,1796351.0,1796367.0
1b,mixed,mem,kite_medium,0_06,9518.838392,2155392.0,2155407.0
1b,mixed,mem,kite_medium,0_07,9683.133651,2515138.0,2515163.0
1b,mixed,mem,kite_medium,0_08,9855.648778,2874590.0,2874616.0
1b,mixed,mem,kite_medium,0_09,10049.208949,3234003.0,3234032.0
1b,mixed,mem,kite_medium,0_1,10265.73631,3593847.0,3593887.0
1b,mixed,mem,kite_medium,0_11,10500.022812,3952423.0,3952472.0
1b,mixed,mem,kite_medium,0_12,10768.879608,4311893.0,4311937.0
1b,mixed,mem,kite_medium,0_13,11076.135951,4671490.0,4671519.0
1b,mixed,mem,kite_medium,0_14,11440.357195,5031851.0,5031916.0
1b,mixed,mem,kite_medium,0_15,11869.898156,5392262.0,5392329.0
1b,mixed,mem,kite_medium,0_16,12373.396305,5751408.0,5751474.0
1b,mixed,mem,kite_medium,0_17,13029.019959,6110979.0,6111058.0
1b,mixed,mem,kite_medium,0_18,13883.495589,6469605.0,6469693.0
1b,mixed,mem,kite_medium,0_19,15282.816465,6828275.0,6828362.0
1b,mixed,mem,kite_medium,0_2,18686.705093,7187593.0,7187710.0
1b,mixed,mem,kite_medium,0_21,878224.648867,7535122.0,7535263.0
1b,mixed,mem,kite_medium,0_22,4371561.95248,7829019.0,7829172.0
1b,mixed,mem,kite_medium,0_23,7357633.309431,8110511.0,8110678.0
1b,mixed,mem,kite_medium,0_24,10608767.576754,8376152.0,8376347.0
1b,mixed,mem,kite_medium,0_25,15011125.107818,8614311.0,8614541.0
1b,mixed,mem,kite_medium,0_26,21043062.770835,8811738.0,8811980.0
1b,mixed,mem,kite_medium,0_27,27040295.771485,8991473.0,8991716.0
1b,mixed,mem,kite_medium,0_28,33740206.765728,9157426.0,9157704.0
