sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,coh,mclb_hops_4_6,ns_s_scop,uniform_random,0_29,61701523.102981,107731989.871427,20480108.0,20480287.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_1,8485.676196,8364.593927,6034143.0,6034167.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_11,9129.543391,9179.706002,6637059.0,6637087.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_12,10261.242446,10756.315151,7240583.0,7240613.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_13,14395.955379,17274.895257,7844460.0,7844503.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_14,3988788.342134,6657212.926748,8413465.0,8413527.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_15,11436051.125604,19220349.113019,8936378.0,8936440.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_16,20381193.299865,34540029.996103,9418030.0,9418096.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_17,29930568.838353,51209471.519439,9876676.0,9876756.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_18,40221885.514759,69547164.970614,10303526.0,10303606.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_19,49881952.878392,87218883.95826,10712483.0,10712567.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_2,60575315.274179,107267810.367391,11092100.0,11092189.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_21,71094870.704301,127619073.124154,11445679.0,11445758.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_22,79755659.398407,145000878.663702,11803789.0,11803877.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_23,86645868.790118,159497654.130679,12159916.0,12160001.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_24,92065323.010262,171452218.536381,12516566.0,12516653.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_25,96166675.740327,181116703.485543,12868291.0,12868394.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_26,99298393.955696,188988493.351263,13228117.0,13228208.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_27,101625334.501107,195423486.805919,13581437.0,13581529.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_28,103241289.190466,200464554.272942,13940437.0,13940542.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,neighbor,0_29,104311639.719325,204455883.389877,14290648.0,14290755.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_1,8462.282688,8679.027603,7542187.0,7542217.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_11,17548.025655,23536.775581,8295875.0,8295918.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_12,5466093.88414,9142001.684819,8991898.0,8991941.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_13,9782009.406107,16439067.737067,9678812.0,9678865.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_14,12051010.963081,20330417.718718,10366300.0,10366361.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_15,13067410.447833,22121794.831016,11051950.0,11052008.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_16,13121543.925433,22278417.773942,11738666.0,11738737.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_17,18008484.403822,30747807.080633,12377406.0,12377487.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_18,28893261.509701,49818667.735055,12927539.0,12927621.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_19,37053038.04707,64460690.030597,13481763.0,13481850.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_2,43786182.441395,76823986.011915,14032660.0,14032750.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_21,48856050.571172,86396258.795091,14583189.0,14583278.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_22,52800853.329379,94064798.222862,15135096.0,15135186.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_23,55677335.001473,99885240.575264,15683424.0,15683518.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_24,57710039.506145,104175845.553778,16237097.0,16237184.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_25,59132273.282318,107407710.610033,16786883.0,16786988.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_26,60017050.617135,109611655.101892,17343468.0,17343575.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_27,60506465.574767,111118135.277318,17889139.0,17889242.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_28,60628164.178752,111885951.998464,18444525.0,18444648.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,neighbor,0_29,60532245.418265,112258275.183894,18991377.0,18991498.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_1,8485.676196,8364.593927,6034143.0,6034167.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_11,9129.543391,9179.706002,6637059.0,6637087.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_12,10261.242446,10756.315151,7240583.0,7240613.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_13,14395.955379,17274.895257,7844460.0,7844503.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_14,3988788.342134,6657212.926748,8413465.0,8413527.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_15,11436051.125604,19220349.113019,8936378.0,8936440.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_16,20381193.299865,34540029.996103,9418030.0,9418096.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_17,29930568.838353,51209471.519439,9876676.0,9876756.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_18,40221885.514759,69547164.970614,10303526.0,10303606.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_19,49881952.878392,87218883.95826,10712483.0,10712567.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_2,60575315.274179,107267810.367391,11092100.0,11092189.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_21,71094870.704301,127619073.124154,11445679.0,11445758.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_22,79755659.398407,145000878.663702,11803789.0,11803877.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_23,86645868.790118,159497654.130679,12159916.0,12160001.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_24,92065323.010262,171452218.536381,12516566.0,12516653.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_25,96166675.740327,181116703.485543,12868291.0,12868394.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_26,99298393.955696,188988493.351263,13228117.0,13228208.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_27,101625334.501107,195423486.805919,13581437.0,13581529.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_28,103241289.190466,200464554.272942,13940437.0,13940542.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,tornado,0_29,104311639.719325,204455883.389877,14290648.0,14290755.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_1,8462.282688,8679.027603,7542187.0,7542217.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_11,17548.025655,23536.775581,8295875.0,8295918.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_12,5466093.88414,9142001.684819,8991898.0,8991941.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_13,9782009.406107,16439067.737067,9678812.0,9678865.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_14,12051010.963081,20330417.718718,10366300.0,10366361.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_15,13067410.447833,22121794.831016,11051950.0,11052008.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_16,13121543.925433,22278417.773942,11738666.0,11738737.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_17,18008484.403822,30747807.080633,12377406.0,12377487.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_18,28893261.509701,49818667.735055,12927539.0,12927621.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_19,37053038.04707,64460690.030597,13481763.0,13481850.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_2,43786182.441395,76823986.011915,14032660.0,14032750.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_21,48856050.571172,86396258.795091,14583189.0,14583278.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_22,52800853.329379,94064798.222862,15135096.0,15135186.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_23,55677335.001473,99885240.575264,15683424.0,15683518.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_24,57710039.506145,104175845.553778,16237097.0,16237184.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_25,59132273.282318,107407710.610033,16786883.0,16786988.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_26,60017050.617135,109611655.101892,17343468.0,17343575.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_27,60506465.574767,111118135.277318,17889139.0,17889242.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_28,60628164.178752,111885951.998464,18444525.0,18444648.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,tornado,0_29,60532245.418265,112258275.183894,18991377.0,18991498.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_1,8328.249633,8224.364921,7164605.0,7164631.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_11,8976.601762,9053.417739,7881245.0,7881281.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_12,10149.662299,10702.036891,8598079.0,8598118.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_13,15193.839217,18739.7301,9316110.0,9316160.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_14,4019073.702468,6708616.02646,9992718.0,9992773.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_15,9392020.069645,15752598.44482,10640141.0,10640219.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_16,20354142.93566,34450962.685492,11204656.0,11204746.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_17,30885400.427957,52798821.452124,11739946.0,11740045.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_18,43674981.165032,75607275.810369,12215314.0,12215412.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_19,54824114.911822,96092843.689053,12679360.0,12679479.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_2,67161245.858416,119422180.974846,13100811.0,13100930.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_21,77429796.03023,139608295.732586,13518185.0,13518303.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_22,86868045.891193,158848938.972373,13918920.0,13919047.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_23,94514945.877073,175209513.785617,14320224.0,14320344.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_24,100481845.468892,188687299.968521,14719655.0,14719784.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_25,105027800.690556,199712339.853854,15118978.0,15119118.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_26,108690034.956439,209174616.002724,15520267.0,15520401.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_27,111423785.330157,216954966.942948,15914992.0,15915113.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_28,113225481.361045,222886872.069161,16317299.0,16317435.0
2b,same,mem,mclb_hops_4_6,ns_s_scop,transpose,0_29,114425598.548634,227604036.041144,16717280.0,16717418.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_1,7743.92523,7598.086075,7542192.0,7542217.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_11,8327.630176,8340.411451,8295890.0,8295925.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_12,9420.972649,9877.459749,9050546.0,9050578.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_13,13976.745081,17121.291211,9806230.0,9806286.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_14,4371198.364213,7299408.50379,10514249.0,10514313.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_15,10404031.080892,17466476.61324,11185715.0,11185783.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_16,14559233.107964,24550804.13584,11855257.0,11855348.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_17,23397460.171317,39794055.874355,12446608.0,12446696.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_18,36316497.588916,62488568.897221,12965011.0,12965101.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_19,47877452.73626,83365608.406762,13465953.0,13466060.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_2,56667758.56444,99751493.505525,13972363.0,13972462.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_21,64230283.015728,114264943.422387,14471226.0,14471327.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_22,71109359.344668,127884676.118132,14955388.0,14955492.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_23,76567163.78824,139119065.788252,15438255.0,15438366.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_24,80825551.175922,148273920.293069,15921345.0,15921458.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_25,83808029.799807,155180705.250472,16405112.0,16405238.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_26,86266491.305728,161119839.63471,16891305.0,16891436.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_27,87844610.021627,165463819.698869,17370116.0,17370224.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_28,88892578.11217,168766172.675647,17854554.0,17854683.0
2b,same,coh,mclb_hops_4_6,ns_s_scop,transpose,0_29,89447486.200691,171071004.765966,18341153.0,18341281.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_1,8571.602989,8865.661064,6034145.0,6034168.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_11,19100.874836,26030.550515,6636992.0,6637031.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_12,7124899.457513,11930556.232627,7182762.0,7182801.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_13,13476230.803803,22704242.023912,7716518.0,7716562.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_14,18028053.242692,30511744.747173,8252970.0,8253014.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_15,22140175.921851,37669555.963627,8781847.0,8781907.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_16,28719798.46646,49211915.081563,9272437.0,9272497.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_17,36972440.957493,63942011.953536,9730775.0,9730842.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_18,49376781.956261,86493676.292417,10124627.0,10124698.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_19,58702898.133595,104054077.068422,10522035.0,10522108.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_2,67998558.680307,122058103.491414,10901715.0,10901788.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_21,75003533.790715,136274757.112981,11275226.0,11275294.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_22,80721726.514279,148305683.727041,11655165.0,11655247.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_23,84681313.876294,157282787.57038,12032448.0,12032520.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_24,87762509.497246,164661580.345416,12409747.0,12409825.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_25,89958269.728091,170400391.299494,12785337.0,12785423.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_26,91292576.870622,174497816.850195,13165774.0,13165857.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_27,92006153.761786,177420872.595196,13540473.0,13540554.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_28,92250868.777701,179360123.238261,13920930.0,13921021.0
2b,same,mem,mclb_hops_4_6,ns_m_scop,tornado,0_29,92189458.586801,180678582.39025,14292023.0,14292126.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_1,7291.111249,7093.825733,7542192.0,7542217.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_11,7497.844537,7331.310902,8295894.0,8295925.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_12,7772.974488,7666.331835,9050554.0,9050581.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_13,8144.050776,8147.442143,9806270.0,9806307.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_14,8735.606556,8968.059951,10561669.0,10561704.0
2b,same,coh,mclb_hops_4_6,ns_m_scop,tornado,0_15,9923.044158,10743.522981,11316142.0,11316184.0
