sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_2,10775.622328,10746.788615,15090334.0,15090416.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_21,11019.357451,11053.725814,15845455.0,15845528.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_22,11308.715208,11429.123827,16600716.0,16600789.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_23,11652.551718,11890.087207,17354138.0,17354228.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_24,12084.586146,12487.303657,18107799.0,18107910.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_25,12629.54175,13264.918324,18861903.0,18862014.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_26,13385.271373,14379.81589,19615841.0,19615940.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_27,14493.227705,16066.434,20368508.0,20368609.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_28,16345.403333,18973.68512,21124013.0,21124123.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_29,19881.905228,24674.495107,21877330.0,21877445.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_3,30682.00895,42454.832877,22632894.0,22633015.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_31,1234482.667275,2050267.229058,23362635.0,23362791.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_32,18265699.174259,30804596.519914,23713883.0,23714013.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_33,34984830.809949,59728766.593341,24036867.0,24037012.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,1.8GHz,0_34,50158597.31196,86662034.26388,24358925.0,24359075.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_01,5903.241258,5795.272842,1133486.0,1133489.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_02,5949.278236,5837.414299,2267625.0,2267632.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_03,5998.602275,5881.186835,3400211.0,3400216.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_04,6048.756298,5925.967272,4532524.0,4532534.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_05,6102.144225,5975.293674,5664582.0,5664602.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_06,6157.836885,6026.429382,6797022.0,6797039.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_07,6215.742155,6080.293164,7931952.0,7931969.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_08,6278.907085,6140.443023,9066487.0,9066513.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_09,6343.494678,6203.181036,10200324.0,10200352.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_1,6412.288244,6270.85588,11331766.0,11331799.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_11,6488.195671,6346.603195,12465492.0,12465536.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_12,6570.019776,6430.511881,13601537.0,13601578.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_13,6657.71694,6521.601247,14735598.0,14735633.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_14,6753.825185,6624.581752,15870084.0,15870144.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_15,6860.118746,6740.041184,17005308.0,17005372.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_16,6976.631809,6870.650796,18140189.0,18140256.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_17,7107.596833,7020.022505,19276199.0,19276254.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_18,7255.819234,7194.478217,20410370.0,20410439.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,160dirs,2.7GHz,0_19,7424.314205,7397.112474,21546893.0,21546970.0
