sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,coh,mclb_hops_4_6,ns_l_scop,uniform_random,0_07,6692.850641,6452.806555,5278131.0,5278140.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,uniform_random,0_08,6808.500981,6561.512617,6033799.0,6033822.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,uniform_random,0_09,6929.369963,6676.116268,6788915.0,6788934.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,uniform_random,0_1
2b,same,mem,mclb_hops_4_6,ns_l_scop,shuffle,0_01,5791.665151,5604.641251,733884.0,733887.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_01,5682.546822,5491.177828,755186.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_02,5759.757056,5558.571417,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_03,5848.386054,5638.967346,2263041.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_04,5953.125502,5735.065766,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_05,6070.626266,5844.369567,3770306.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_06,6219.173789,5991.012367,4523945.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_07,6404.846119,6180.652108,5278277.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_08,6652.922766,6455.014039,6033125.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_09,7031.089966,6914.029282,6788431.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,shuffle,0_1
2b,same,mem,mclb_hops_4_6,ns_l_scop,tornado,0_01,6245.659144,6063.144372,688731.0,688735.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_01,6111.993363,5919.253538,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_02,6169.750235,5968.708524,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_03,6234.423204,6024.055008,2263040.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_04,6307.843796,6087.792457,3016278.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_05,6389.368096,6160.456026,3770303.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_06,6480.87583,6243.763933,4523944.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_07,6589.066071,6344.984159,5278277.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_08,6715.309801,6468.423433,6033122.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_09,6866.590532,6622.539841,6788436.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,tornado,0_1
2b,same,mem,mclb_hops_4_6,ns_l_scop,neighbor,0_01,6245.632089,6063.110706,684264.0,684264.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_01,6226.588182,6039.41873,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_02,6290.054729,6098.663381,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_03,6359.174328,6163.65466,2263040.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_04,6438.841326,6238.681219,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_05,6527.096257,6325.153409,3770304.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_06,6629.469784,6427.360937,4523945.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_07,6749.796504,6552.439375,5278278.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_08,6894.464105,6710.151119,6033121.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_09,7075.512817,6919.147713,6788430.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,neighbor,0_1
2b,same,mem,mclb_hops_4_6,ns_l_scop,transpose,0_01,5840.453896,5649.039465,755186.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_01,5490.44561,5298.538961,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_02,5538.809483,5340.908838,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_03,5588.269238,5382.321282,2263042.0,2263050.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_04,5646.792125,5431.961213,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_05,5708.012264,5486.012105,3770303.0,3770310.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_06,5775.158591,5545.449282,4523946.0,4523957.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_07,5853.79619,5617.661634,5278276.0,5278288.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_08,5937.497286,5696.516312,6033125.0,6033138.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_09,6035.161872,5791.815014,6788433.0,6788451.0
2b,same,coh,mclb_hops_4_6,ns_l_scop,transpose,0_1
2b,same,mem,mclb_hops_4_6,kite_small,uniform_random,0_01,6698.744268,6504.736502,675243.0,675248.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_01,6500.621301,6308.203907,755112.0,755113.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_02,6593.209473,6395.100974,1509785.0,1509788.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_03,6693.900302,6488.911212,2262965.0,2262975.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_04,6799.117856,6586.840287,3015896.0,3015904.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_05,6915.563149,6695.643714,3769077.0,3769090.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_06,7034.274203,6807.729329,4522970.0,4522993.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_07,7163.324589,6930.490552,5278128.0,5278140.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_08,7300.318117,7062.57399,6033795.0,6033822.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_09,7443.555785,7203.027847,6788917.0,6788934.0
2b,same,coh,mclb_hops_4_6,kite_small,uniform_random,0_1
2b,same,mem,mclb_hops_4_6,kite_small,tornado,0_01,6652.700531,6464.473262,668630.0,668633.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_01,6404.931374,6211.966532,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_02,6477.532563,6271.781274,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_03,6566.522686,6351.621587,2263043.0,2263050.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_04,6665.444192,6439.418592,3016278.0,3016288.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_05,6779.770242,6543.818031,3770303.0,3770310.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_06,6917.130333,6673.68513,4523944.0,4523957.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_07,7082.467073,6836.778812,5278272.0,5278288.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_08,7290.101037,7052.781726,6033126.0,6033138.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_09,7559.854264,7350.287742,6788429.0,6788451.0
2b,same,coh,mclb_hops_4_6,kite_small,tornado,0_1
2b,same,mem,mclb_hops_4_6,kite_small,neighbor,0_01,6652.570511,6464.659823,693659.0,693662.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_01,6415.692309,6232.321893,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_02,6504.274547,6316.617869,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_03,6608.382735,6420.324342,2263040.0,2263050.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_04,6725.349329,6538.579246,3016278.0,3016288.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_05,6862.005965,6678.272693,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_06,7034.334513,6867.180381,4523945.0,4523957.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_07,7246.071481,7107.952471,5278275.0,5278288.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_08,7541.894522,7470.198635,6033118.0,6033138.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_09,7984.519716,8054.398995,6788428.0,6788451.0
2b,same,coh,mclb_hops_4_6,kite_small,neighbor,0_1
2b,same,mem,mclb_hops_4_6,kite_small,shuffle,0_01,5968.700512,5773.233713,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_01,5830.575353,5640.662119,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_02,5886.990388,5693.330603,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_03,5946.624536,5745.595783,2263041.0,2263050.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_04,6014.90713,5806.303213,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_05,6090.507156,5876.88333,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_06,6173.22997,5955.056727,4523946.0,4523957.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_07,6270.122422,6048.618925,5278277.0,5278288.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_08,6383.868209,6163.937796,6033125.0,6033138.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_09,6520.69222,6309.327945,6788433.0,6788451.0
2b,same,coh,mclb_hops_4_6,kite_small,shuffle,0_1
2b,same,mem,mclb_hops_4_6,kite_small,transpose,0_01,6650.733248,6454.188758,660609.0,660611.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_01,5784.532897,5600.112302,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_02,5847.353047,5660.762769,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_03,5916.07524,5727.265367,2263043.0,2263050.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_04,5996.000824,5802.638929,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_05,6082.14599,5887.097872,3770301.0,3770310.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_06,6177.171668,5982.504188,4523946.0,4523957.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_07,6292.787196,6102.999203,5278272.0,5278288.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_08,6428.178506,6250.202927,6033124.0,6033138.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_09,6585.565546,6427.593167,6788434.0,6788451.0
2b,same,coh,mclb_hops_4_6,kite_small,transpose,0_1
2b,same,mem,mclb_hops_4_6,kite_large,transpose,0_01,6300.951912,6110.753496,713789.0,713794.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_01,6391.542051,6201.709873,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_02,6450.822987,6255.360678,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_03,6516.590796,6314.235469,2263040.0,2263050.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_04,6594.599277,6384.231753,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_05,6678.976577,6463.042027,3770302.0,3770310.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_06,6774.060369,6554.515554,4523942.0,4523957.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_07,6888.584589,6669.675892,5278271.0,5278288.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_08,7022.627002,6810.835093,6033117.0,6033138.0
2b,same,coh,mclb_hops_4_6,kite_large,transpose,0_09,7194.371845,7004.037234,6788433.0,6788451.0
2b,same,mem,mclb_hops_4_6,kite_large,shuffle,0_01,5619.238147,5424.575104,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_01,6177.649344,5982.875679,755185.0,755186.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_02,6244.184233,6040.807859,1509717.0,1509719.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_03,6319.581006,6105.541501,2263041.0,2263050.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_04,6409.057156,6183.542853,3016279.0,3016288.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_05,6506.845878,6270.769154,3770303.0,3770310.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_06,6619.213993,6374.290342,4523943.0,4523957.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_07,6750.721215,6498.338802,5278274.0,5278288.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_08,6905.022049,6651.157051,6033122.0,6033138.0
2b,same,coh,mclb_hops_4_6,kite_large,shuffle,0_09,7093.728363,6846.784133,6788430.0,6788451.0
2b,same,mem,mclb_hops_4_6,kite_large,uniform_random,0_01,6274.319201,6080.320572,741069.0,741073.0
2b,same,coh,mclb_hops_4_6,kite_large,uniform_random,0_01,6387.353288,6193.130784,755112.0,755113.0
2b,same,coh,mclb_hops_4_6,kite_large,uniform_random,0_02,6478.0192,6276.56797,1509784.0,1509788.0
2b,same,coh,mclb_hops_4_6,kite_large,uniform_random,0_03,6577.918537,6368.816412,2262964.0,2262975.0
