sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_18,11604.03164,11642.11144,13581666.0,13581731.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_19,11947.56908,12057.621415,14337214.0,14337283.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_2,12339.21729,12542.516173,15090321.0,15090411.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_21,12794.253378,13115.054409,15845442.0,15845528.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_22,13340.219996,13822.15407,16600703.0,16600790.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_23,14007.984558,14708.149705,17354119.0,17354226.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_24,14844.907645,15844.654008,18107782.0,18107901.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_25,15945.865839,17386.139802,18861868.0,18862006.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_26,17510.926831,19647.873276,19615788.0,19615923.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_27,19922.820922,23245.855629,20368478.0,20368599.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_28,24831.557769,30887.590654,21123923.0,21124094.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_29,50173.959956,72417.478444,21876727.0,21876942.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_3,8625709.528252,14446218.120585,22443880.0,22444111.0
2b,mixed,coh,mclb_hops_4_6,ns_m_scop,uniform_random,20cpus,20dirs,0_31,26516968.351015,44989837.07523,22778942.0,22779200.0
