bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
ferret,kite_small_noci_augmclb_hops,,34043106500.0,133759.0,21502.815505,537432220.0,64690060.0
ferret,ns_s_bwop_noci_augmclb_hops,,37414406500.0,143249.0,21761.931823,607267783.0,58647714.0
ferret,lpbt_s_latop_noci_augmclb_hops,,35790951500.0,148144.0,24291.209642,598100263.0,53510520.0
ferret,ns_s_scop_noci_augmclb_hops,,34241467500.0,133878.0,21401.168281,537578773.0,53230576.0
ferret,ft_x_noci_augmclb_hops,,34588612500.0,139004.0,25425.511552,521377641.0,69177221.0
ferret,kite_large_noci_augmclb_hops,,31077876000.0,134459.0,27071.306609,506497970.0,62155748.0
ferret,lpbt_m_latop_noci_augmclb_hops,,44624718500.0,174104.0,25240.415413,773956277.0,71108612.0
ferret,lpbt_s_power_noci_augmclb_hops,,34182511500.0,131880.0,22628.446195,543244638.0,64394948.0
ferret,ns_l_bwop_noci_augmclb_hops,,34130708000.0,140142.0,25642.055946,518548893.0,68261412.0
ferret,kite_medium_noci_augmclb_hops,,40885838000.0,164197.0,25215.198154,707554624.0,63699280.0
ferret,ns_s_latop_noci_augmclb_hops,,37667018500.0,141951.0,22050.55125,571954832.0,62256041.0
ferret,butter_donut_x_noci_augmclb_hops,,38037031000.0,156109.0,27996.636114,637339994.0,64536588.0
ferret,mesh_noci_naive_hops,,31175052000.0,147277.0,33781.90661,481723092.0,62350100.0
ferret,dbl_bfly_x_noci_augmclb_hops,,31012189000.0,158388.0,29527.812536,482740142.0,62014801.0
freqmine,ft_x_noci_augmclb_hops,,43206375500.0,127254.0,30112.982781,95806790.0,86412751.0
freqmine,dbl_bfly_x_noci_augmclb_hops,,43689967000.0,142557.0,31357.95506,97200775.0,87379934.0
freqmine,ns_m_scop_noci_augmclb_hops,,43007197500.0,137438.0,24908.073823,95314191.0,86014395.0
freqmine,ns_s_latop_noci_augmclb_hops,,42636364500.0,122513.0,22879.397195,93957375.0,85272729.0
freqmine,ns_m_bwop_noci_augmclb_hops,,42822319000.0,130482.0,27842.292492,94961244.0,85644638.0
