bench,config,description,simTicks,numCycles,average_packet_latency,cumulativeCycles,maxCycles
swaptions,butter_donut_x_noci_cload_picky_hops,,27646160000.0,55292316.0,25523.745737,3538708146.0,55292316.0
swaptions,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
swaptions,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
swaptions,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,
freqmine,kite_large_noci_cload_picky_hops,,51751743000.0,214436.0,21186.843936,427668949.0,103503484.0
freqmine,ns_l_bwop_noci_cload_picky_hops,,51213193000.0,211086.0,20862.48354,423088376.0,102426384.0
freqmine,ns_l_latop_noci_cload_picky_hops,,51272632500.0,209199.0,20803.775428,423560022.0,102545263.0
freqmine,ns_m_bwop_noci_cload_picky_hops,,51598245000.0,213770.0,21325.151471,426463078.0,103196488.0
freqmine,ns_m_latop_noci_cload_picky_hops,,51597606500.0,212645.0,21383.547787,426475481.0,103195211.0
freqmine,ns_s_bwop_noci_cload_picky_hops,,50699202000.0,202660.0,20300.340863,418563624.0,101398402.0
freqmine,ns_s_latop_noci_cload_picky_hops,,50680709000.0,200616.0,20202.129663,418382645.0,101361416.0
freqmine,kite_medium_noci_cload_picky_hops,,51849017500.0,215891.0,21718.910873,428629533.0,103698033.0
freqmine,kite_small_noci_cload_picky_hops,,50722233500.0,201909.0,20281.821675,418762023.0,101444465.0
freqmine,cmesh_x_noci_cload_picky_hops,,51254545000.0,211095.0,20663.961457,423423569.0,102509088.0
freqmine,mesh_noci_cload_picky_hops,,52913083500.0,242297.0,22883.210064,438200093.0,105826165.0
freqmine,ft_x_noci_cload_picky_hops,,51858452500.0,219275.0,21745.580477,428731525.0,103716903.0
freqmine,dbl_bfly_x_noci_cload_picky_hops,,51896075500.0,213915.0,21285.851701,428928676.0,103792149.0
freqmine,butter_donut_x_noci_cload_picky_hops,,51683480000.0,211638.0,21237.468044,427132728.0,103366958.0
freqmine,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,50873032500.0,202281.0,20337.805283,420078104.0,101746063.0
freqmine,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
freqmine,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,51877858000.0,219359.0,21403.868103,428926534.0,103755714.0
raytrace,kite_large_noci_cload_picky_hops,,34320680000.0,178263.0,15002.073536,147560044.0,68641359.0
raytrace,ns_l_bwop_noci_cload_picky_hops,,34454331000.0,178998.0,14726.426816,148015497.0,68908661.0
raytrace,ns_l_latop_noci_cload_picky_hops,,34358477000.0,177326.0,14635.167125,147590084.0,68716953.0
raytrace,ns_m_bwop_noci_cload_picky_hops,,34610578000.0,181073.0,15256.525979,148838615.0,69221155.0
raytrace,ns_m_latop_noci_cload_picky_hops,,34633928500.0,180346.0,15198.601551,148941156.0,69267856.0
raytrace,ns_s_bwop_noci_cload_picky_hops,,33707816500.0,170678.0,14221.576594,144621015.0,67415632.0
raytrace,ns_s_latop_noci_cload_picky_hops,,33663475000.0,169502.0,14115.746761,144413210.0,67326949.0
raytrace,kite_medium_noci_cload_picky_hops,
raytrace,kite_small_noci_cload_picky_hops,,33755806000.0,169910.0,14230.692214,144828975.0,67511611.0
raytrace,cmesh_x_noci_cload_picky_hops,,34080503000.0,174043.0,14807.083722,146402282.0,68161005.0
raytrace,mesh_noci_cload_picky_hops,,35500145500.0,202783.0,17130.696144,153314698.0,71000290.0
raytrace,ft_x_noci_cload_picky_hops,,34792527500.0,183976.0,15529.725304,149724007.0,69585054.0
raytrace,dbl_bfly_x_noci_cload_picky_hops,,34491996000.0,181124.0,15098.08305,148367141.0,68983991.0
raytrace,butter_donut_x_noci_cload_picky_hops,,34430396000.0,179558.0,14941.255874,148035584.0,68860791.0
raytrace,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,,33811996000.0,170395.0,14378.17832,145174761.0,67623991.0
raytrace,lpbt_20r_5p_15ll_total_hops_runsol_noci_cload_picky_hops,
raytrace,lpbt_20r_5p_2ll_total_hops_runsol_noci_cload_picky_hops,,34855859500.0,184694.0,15633.27011,150003506.0,69711718.0
vips,kite_large_noci_cload_picky_hops,
vips,ns_l_bwop_noci_cload_picky_hops,
vips,ns_l_latop_noci_cload_picky_hops,
vips,ns_m_bwop_noci_cload_picky_hops,
vips,ns_m_latop_noci_cload_picky_hops,
vips,ns_s_bwop_noci_cload_picky_hops,
vips,ns_s_latop_noci_cload_picky_hops,
vips,kite_medium_noci_cload_picky_hops,
vips,kite_small_noci_cload_picky_hops,
vips,cmesh_x_noci_cload_picky_hops,
vips,mesh_noci_cload_picky_hops,
vips,ft_x_noci_cload_picky_hops,
vips,dbl_bfly_x_noci_cload_picky_hops,
vips,butter_donut_x_noci_cload_picky_hops,
vips,lpbt_20r_5p_15ll_power_runsol_noci_cload_picky_hops,
